word,value
NFT,3522
unique,3442
collection,3188
The,2841
Ethereum,2426
,2049
Each,2035
generated,1852
Land,1483
A,1432
NFTs,1381
also,1356
blockchain.,1348
"10,000",1228
"unique,",1216
ENS,1126
This,1075
comes,1052
Club,1047
art,1008
digital,992
name.,992
-,979
blockchain,955
keep,947
"eyes,",917
world,908
background.,902
set,868
rare,852
new,837
"buy,",771
edition,766
land,738
randomly,719
used,717
music,717
free,710
traits.,709
"8,888",693
bear,693
"trade.

This",692
exclusive,663
"game,",659
individual,644
Mavia,639
"use,",629
3,616
build,606
generative,604
FungleBot,596
"body,",594
stored,590
characters,589
order,585
ERC-721,573
type,558
I,557
"mouth,",546
Darcel,546
form,532
access,532
tokens,525
different,521
popular,505
include,492
member,491
one,488
"

This",485
web,480
Common,477
Your,473
trade,470
IV,470
project,469
two,468
200,464
&,463
desirable,456
Beezerbear,456
original,444
making,431
non-fungible,427
building,426
Collective,426
"digital,",425
"7,200",423
Cryptoshack,423
Traits,423
"fur,",423
"clothing,",423
"ears,",423
"headwear,",423
"hands,",423
based,422
like,416
meet,410
3.,406
eyes.,406
Slotie,405
